"Version","Name","Lines"
"Chromium","Build",15319659
"Chromium","Docs",34517513
"Chromium","C++",79982423
"Chromium","Obj-C",1424269
"Chromium","TypeScript",3059540
"Chromium","IDL",449886
"Chromium","JavaScript",8564048
"Chromium","Config",1918957
"Chromium","Java",2312098
"Chromium","WASM",438718
"Chromium","Rust",3005379
"Chromium","Go",2628291
"Chromium","Other code",1360893

